# RESULTS model=gpt-4o-mini effort=None
############################################################

============================================================
PIPELINE     ID     TRUTH      PRED       CORRECT
STANDARD     94     Unknown    Unknown    ✓
STANDARD     95     False      Unknown    ✗
STANDARD     96     True       True       ✓
STANDARD     97     Unknown    Unknown    ✓
STANDARD     98     Unknown    False      ✗
STANDARD     99     False      False      ✓
STANDARD     100    True       True       ✓
STANDARD     101    Unknown    Unknown    ✓
STANDARD     102    Unknown    False      ✗
STANDARD     103    True       True       ✓
STANDARD     104    False      False      ✓
STANDARD     105    Unknown    Unknown    ✓
STANDARD     106    Unknown    True       ✗
STANDARD     107    False      Unknown    ✗
STANDARD     108    True       True       ✓
STANDARD     109    Unknown    Unknown    ✓
STANDARD     110    True       Unknown    ✗
STANDARD     111    False      Unknown    ✗
STANDARD     112    False      False      ✓
STANDARD     113    True       True       ✓
STANDARD     114    Unknown    Unknown    ✓
STANDARD     115    True       Unknown    ✗
STANDARD     116    True       True       ✓
STANDARD     117    Unknown    False      ✗
STANDARD     118    Unknown    Unknown    ✓
STANDARD     119    True       True       ✓
STANDARD     120    Unknown    False      ✗
STANDARD     121    False      False      ✓
STANDARD     122    Unknown    True       ✗
STANDARD     123    False      Unknown    ✗
STANDARD     124    True       Unknown    ✗
STANDARD     125    True       True       ✓
STANDARD     126    Unknown    Unknown    ✓
STANDARD     127    Unknown    Unknown    ✓
STANDARD     128    Unknown    Unknown    ✓
STANDARD     129    True       True       ✓
STANDARD     130    True       Unknown    ✗
STANDARD     131    False      Unknown    ✗
STANDARD     132    True       True       ✓
STANDARD     133    Unknown    Unknown    ✓
STANDARD     134    Unknown    Unknown    ✓
STANDARD     135    Unknown    False      ✗
STANDARD     136    False      False      ✓
STANDARD     137    True       True       ✓
STANDARD     138    Unknown    True       ✗
STANDARD     139    False      False      ✓
STANDARD     140    True       True       ✓
STANDARD     141    True       True       ✓
STANDARD     142    Unknown    Unknown    ✓
STANDARD     143    True       True       ✓
STANDARD     144    Unknown    Unknown    ✓
STANDARD     145    False      False      ✓
STANDARD     146    Unknown    False      ✗
STANDARD     147    False      False      ✓
STANDARD     148    True       True       ✓
STANDARD     149    True       True       ✓
STANDARD     150    True       True       ✓
STANDARD     151    False      False      ✓
STANDARD     152    Unknown    Unknown    ✓
STANDARD     153    True       False      ✗
STANDARD     154    False      True       ✗
STANDARD     155    Unknown    Unknown    ✓
STANDARD     156    False      False      ✓
STANDARD     157    True       True       ✓
STANDARD     158    False      False      ✓
STANDARD     159    False      False      ✓
STANDARD     160    False      False      ✓
STANDARD     161    Unknown    False      ✗
STANDARD     162    True       False      ✗
STANDARD     163    False      True       ✗
STANDARD     164    True       True       ✓
STANDARD     165    False      False      ✓
STANDARD     166    Unknown    Unknown    ✓
STANDARD     167    Unknown    Unknown    ✓
STANDARD     168    True       True       ✓
STANDARD     169    False      False      ✓
STANDARD     170    False      False      ✓
STANDARD     171    False      False      ✓
STANDARD     172    False      False      ✓
STANDARD     173    False      False      ✓
STANDARD     174    Unknown    Unknown    ✓
STANDARD     175    Unknown    Unknown    ✓
STANDARD     176    False      Unknown    ✗
STANDARD     177    True       Unknown    ✗
STANDARD     178    False      False      ✓
STANDARD     179    False      False      ✓
STANDARD     180    False      False      ✓
STANDARD     181    Unknown    False      ✗
STANDARD     182    Unknown    True       ✗
LTRAG        1      Unknown    Unknown    ✓
LTRAG        2      True       True       ✓
LTRAG        3      Unknown    Unknown    ✓
LTRAG        4      Unknown    Unknown    ✓
LTRAG        5      True       Unknown    ✗
LTRAG        6      Unknown    Unknown    ✓
LTRAG        7      Unknown    Unknown    ✓
LTRAG        8      True       True       ✓
LTRAG        9      Unknown    Unknown    ✓
LTRAG        10     False      False      ✓
LTRAG        11     True       True       ✓
LTRAG        12     Unknown    Unknown    ✓
LTRAG        13     Unknown    Unknown    ✓
LTRAG        14     True       Unknown    ✗
LTRAG        15     True       Unknown    ✗
LTRAG        16     False      Unknown    ✗
LTRAG        17     True       True       ✓
LTRAG        18     False      False      ✓
LTRAG        19     Unknown    Unknown    ✓
LTRAG        20     True       True       ✓
LTRAG        21     Unknown    Unknown    ✓
LTRAG        22     Unknown    Unknown    ✓
LTRAG        23     True       Unknown    ✗
LTRAG        24     Unknown    Unknown    ✓
LTRAG        25     True       True       ✓
LTRAG        26     False      False      ✓
LTRAG        27     True       Unknown    ✗
LTRAG        28     Unknown    Unknown    ✓
LTRAG        29     False      Unknown    ✗
LTRAG        30     True       Unknown    ✗
LTRAG        31     True       True       ✓
LTRAG        32     False      Unknown    ✗
LTRAG        33     Unknown    Unknown    ✓
LTRAG        34     True       True       ✓
LTRAG        35     False      Unknown    ✗
LTRAG        36     True       True       ✓
LTRAG        37     Unknown    Unknown    ✓
LTRAG        38     False      Unknown    ✗
LTRAG        39     Unknown    Unknown    ✓
LTRAG        40     True       Unknown    ✗
LTRAG        41     Unknown    Unknown    ✓
LTRAG        42     Unknown    Unknown    ✓
LTRAG        43     False      False      ✓
LTRAG        44     True       True       ✓
LTRAG        45     False      Unknown    ✗
LTRAG        46     Unknown    Unknown    ✓
LTRAG        47     True       True       ✓
LTRAG        48     True       True       ✓
LTRAG        49     False      False      ✓
LTRAG        50     Unknown    Unknown    ✓
LTRAG        51     False      Unknown    ✗
LTRAG        52     Unknown    Unknown    ✓
LTRAG        53     True       Unknown    ✗
LTRAG        54     Unknown    Unknown    ✓
LTRAG        55     Unknown    Unknown    ✓
LTRAG        56     Unknown    Unknown    ✓
LTRAG        57     False      False      ✓
LTRAG        58     True       True       ✓
LTRAG        59     True       Unknown    ✗
LTRAG        60     Unknown    Unknown    ✓
LTRAG        61     True       Unknown    ✗
LTRAG        62     True       Unknown    ✗
LTRAG        63     False      Unknown    ✗
LTRAG        64     Unknown    Unknown    ✓
LTRAG        65     False      False      ✓
LTRAG        66     True       True       ✓
LTRAG        67     True       True       ✓
LTRAG        68     False      False      ✓
LTRAG        69     Unknown    Unknown    ✓
LTRAG        70     True       True       ✓
LTRAG        71     False      True       ✗
LTRAG        72     False      False      ✓
LTRAG        73     True       True       ✓
LTRAG        74     Unknown    Unknown    ✓
LTRAG        75     True       True       ✓
LTRAG        76     False      False      ✓
LTRAG        77     Unknown    True       ✗
LTRAG        78     True       Unknown    ✗
LTRAG        79     False      Unknown    ✗
LTRAG        80     True       True       ✓
LTRAG        81     True       True       ✓
LTRAG        82     Unknown    Unknown    ✓
LTRAG        83     True       True       ✓
LTRAG        84     False      Unknown    ✗
LTRAG        85     False      Unknown    ✗
LTRAG        86     Unknown    Unknown    ✓
LTRAG        87     True       Unknown    ✗
LTRAG        88     Unknown    Unknown    ✓
LTRAG        89     False      False      ✓
LTRAG        90     True       True       ✓
LTRAG        91     Unknown    Unknown    ✓
LTRAG        92     True       Unknown    ✗
LTRAG        93     False      Unknown    ✗
LTRAG        94     Unknown    Unknown    ✓
LTRAG        95     False      False      ✓
LTRAG        96     True       True       ✓
LTRAG        97     Unknown    Unknown    ✓
LTRAG        98     Unknown    Unknown    ✓
LTRAG        99     False      Unknown    ✗
LTRAG        100    True       Unknown    ✗
LTRAG        101    Unknown    Unknown    ✓
LTRAG        102    Unknown    Unknown    ✓
LTRAG        103    True       Unknown    ✗
LTRAG        104    False      Unknown    ✗
LTRAG        105    Unknown    Unknown    ✓
LTRAG        106    Unknown    Unknown    ✓
LTRAG        107    False      Unknown    ✗
LTRAG        108    True       Unknown    ✗
LTRAG        109    Unknown    Unknown    ✓
LTRAG        110    True       Unknown    ✗
LTRAG        111    False      Unknown    ✗
LTRAG        112    False      False      ✓
LTRAG        113    True       True       ✓
LTRAG        114    Unknown    Unknown    ✓
LTRAG        115    True       True       ✓
LTRAG        116    True       True       ✓
LTRAG        117    Unknown    Unknown    ✓
LTRAG        118    Unknown    Unknown    ✓
LTRAG        119    True       True       ✓
LTRAG        120    Unknown    Unknown    ✓
LTRAG        121    False      False      ✓
LTRAG        122    Unknown    Unknown    ✓
LTRAG        123    False      False      ✓
LTRAG        124    True       Unknown    ✗
LTRAG        125    True       Unknown    ✗
LTRAG        126    Unknown    Unknown    ✓
LTRAG        127    Unknown    Unknown    ✓
LTRAG        128    Unknown    Unknown    ✓
LTRAG        129    True       Unknown    ✗
LTRAG        130    True       True       ✓
LTRAG        131    False      Unknown    ✗
LTRAG        132    True       True       ✓
LTRAG        133    Unknown    Unknown    ✓
LTRAG        134    Unknown    Unknown    ✓
LTRAG        135    Unknown    Unknown    ✓
LTRAG        136    False      False      ✓
LTRAG        137    True       True       ✓
LTRAG        138    Unknown    Unknown    ✓
LTRAG        139    False      False      ✓
LTRAG        140    True       True       ✓
LTRAG        141    True       True       ✓
LTRAG        142    Unknown    Unknown    ✓
LTRAG        143    True       True       ✓
LTRAG        144    Unknown    Unknown    ✓
LTRAG        145    False      False      ✓
LTRAG        146    Unknown    Unknown    ✓
LTRAG        147    False      Unknown    ✗
LTRAG        148    True       Unknown    ✗
LTRAG        149    True       True       ✓
LTRAG        150    True       True       ✓
LTRAG        151    False      False      ✓
LTRAG        152    Unknown    Unknown    ✓
LTRAG        153    True       True       ✓
LTRAG        154    False      True       ✗
LTRAG        155    Unknown    Unknown    ✓
LTRAG        156    False      False      ✓
LTRAG        157    True       True       ✓
LTRAG        158    False      False      ✓
LTRAG        159    False      Unknown    ✗
LTRAG        160    False      Unknown    ✗
LTRAG        161    Unknown    Unknown    ✓
LTRAG        162    True       False      ✗
LTRAG        163    False      True       ✗
LTRAG        164    True       True       ✓
LTRAG        165    False      Unknown    ✗
LTRAG        166    Unknown    Unknown    ✓
LTRAG        167    Unknown    Unknown    ✓
LTRAG        168    True       True       ✓
LTRAG        169    False      False      ✓
LTRAG        170    False      False      ✓
LTRAG        171    False      Unknown    ✗
LTRAG        172    False      False      ✓
LTRAG        173    False      False      ✓
LTRAG        174    Unknown    Unknown    ✓
LTRAG        175    Unknown    Unknown    ✓
LTRAG        176    False      False      ✓
LTRAG        177    True       True       ✓
LTRAG        178    False      False      ✓
LTRAG        179    False      Unknown    ✗
LTRAG        180    False      False      ✓
LTRAG        181    Unknown    Unknown    ✓
LTRAG        182    Unknown    True       ✗
============================================================
COT          122/182 (67.0%)
STANDARD     126/182 (69.2%)
LTRAG        131/182 (72.0%)

TOKENS [gpt-4o-mini / none]
  COT         in=437,286  cached=      0  out= 86,022  reasoning=      0  cost=$0.1172
  STANDARD    in=197,868  cached=      0  out= 75,296  reasoning=      0  cost=$0.0749
  LTRAG       in=568,358  cached=      0  out=103,859  reasoning=      0  cost=$0.1476
  TOTAL       in=1,203,512  cached=      0  out=265,177  reasoning=      0  cost=$0.3396
============================================================

